Ride,Event,Rider ID,Horse ID,Placing,Time,Weight (lbs),Miles,Points,BC?,BC Points,BC Score,Pull,Pull Reason,Comments
1998 Balance Forward,,1783,2113,,,,1765,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2121,,,,2285,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2134,,,,380,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2136,,,,610,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2148,,,,765,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2156,,,,1760,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2166,,,,670,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2169,,,,420,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2170,,,,330,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2171,,,,870,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2178,,,,286,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2193,,,,75,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2197,,,,280,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2200,,,,350,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2201,,,,185,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2202,,,,250,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2203,,,,645,,FALSE,,,FALSE,,
1998 Balance Forward,Total Compiled Miles,1783,2208,,,,1488,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2209,,,,350,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2211,,,,195,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2212,,,,225,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2215,,,,420,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2217,,,,200,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2218,,,,286,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2220,,,,230,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2222,,,,225,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2226,,,,335,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2230,,,,361,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2233,,,,190,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2237,,,,455,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2238,,,,80,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2239,,,,140,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2243,,,,720,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2244,,,,115,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2247,,,,165,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2249,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2253,,,,445,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2254,,,,255,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2255,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2256,,,,80,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2258,,,,30,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2259,,,,441,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2261,,,,295,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2263,,,,95,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2264,,,,255,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2267,,,,280,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2274,,,,155,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2275,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2276,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2278,,,,50,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2279,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2281,,,,110,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2282,,,,95,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2283,,,,25,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2284,,,,90,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2285,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2286,,,,90,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2287,,,,120,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2288,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2289,,,,35,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2295,,,,125,,FALSE,,,FALSE,,
1998 Balance Forward,,1200,2296,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2296,,,,60,,FALSE,,,FALSE,,
1998 Balance Forward,Total Compiled Miles,1783,2297,,,,125,,FALSE,,,FALSE,,
1998 Balance Forward,,1783,2298,,,,100,,FALSE,,,FALSE,,
